Rank;SJR-index;CiteScore;H-index;Total Docs.;Total Docs. 3y;Total Refs.;Total Cites 3y;Citable Docs. 3y;Cites/Doc. 2y;Refs./Doc.
238;51;109;164;130;382;6866;3444;380;106;5282
239;5097;312;115;21;69;2792;1128;65;1704;13295
240;5093;163;219;123;233;12105;3148;199;1176;9841
241;503;293;227;1187;3163;71281;58153;3162;1793;6005
242;5029;173;211;54;178;6515;2420;178;1072;12065
243;4981;172;137;53;95;4274;1416;85;1536;8064
244;4969;181;43;41;106;1034;1174;81;45;2522
245;4963;79;193;111;211;6201;1218;211;478;5586
246;4943;172;321;178;562;9115;5227;521;826;5121
247;4939;311;174;74;142;21775;2837;141;185;29426
248;4927;219;506;900;2535;30720;21405;1757;823;3413
249;4922;432;375;358;1553;5067;9023;501;659;1415
250;4906;419;152;88;546;9622;13606;529;2441;10934
251;4906;146;319;164;524;9134;4106;523;67;557
252;4897;248;200;126;425;7276;4730;338;1034;5775
253;4896;226;63;357;795;17087;9601;644;115;4786
254;4887;379;301;1065;3252;61196;73612;3248;2266;5746
255;4855;266;124;30;111;13377;1336;111;1009;4459
256;4851;179;111;141;381;10000;4480;370;1127;7092
257;484;126;148;25;103;2499;938;99;928;9996
258;4833;225;150;254;715;5645;6916;451;953;2222
259;4816;159;17;0;9;0;84;9;70;0
260;4815;123;77;46;110;1563;817;108;578;3398
261;4811;54;118;83;220;4151;723;220;295;5001
262;4798;89;157;33;111;2627;852;110;794;7961
264;4784;257;311;100;292;8117;3607;286;1184;8117
265;4764;251;209;308;988;8474;9249;597;1028;2751
266;4756;386;136;133;483;11852;10631;471;2314;8911
267;4738;228;110;45;206;2334;1717;104;1039;5187
268;4728;254;448;1890;4717;118946;80288;4677;1656;6293
269;4727;63;123;41;132;1954;514;130;359;4766
270;4722;253;267;494;1820;14532;16112;1020;866;2942
271;4689;279;245;110;332;7238;4122;316;115;658
272;4654;212;59;27;90;3422;1051;83;1036;12674
273;4626;175;130;45;105;3892;1033;101;797;8649
274;4603;218;362;575;2240;21421;24221;2137;975;3725
275;4598;204;214;2211;5372;139284;75209;5342;1301;630
277;4574;149;202;1481;3957;101682;35961;3950;863;6866
278;4553;160;63;500;1115;20906;11011;757;109;4181
279;4541;189;239;58;236;7166;3351;233;1273;12355
280;4537;100;167;118;230;8049;1787;226;745;6821
281;4537;131;26;19;62;1119;721;61;1321;5889
282;4531;240;369;256;1012;17396;12051;805;1183;6795
283;4492;121;206;133;236;12802;2673;187;1089;9626
284;4469;201;71;58;203;639;1903;171;618;1102
285;4467;323;237;43;131;11553;2359;131;1757;26867
286;4457;285;190;222;450;36137;9398;450;2026;16278
287;445;196;306;258;869;8557;7606;677;906;3317
288;4447;304;397;907;802;45508;17867;793;2186;5017
289;4446;73;180;90;258;5372;1561;257;503;5969
290;4437;207;365;411;1195;16682;10725;848;868;4059
291;4435;321;56;110;312;7264;3890;295;1048;6604
292;4435;235;144;329;1287;6626;6702;501;499;2014
293;4426;163;298;213;625;16783;5767;242;862;7879
294;4425;48;21;26;57;1149;210;57;25;4419
295;4391;348;125;28;65;5855;1576;65;2373;20911
296;4388;235;186;103;328;26337;4536;328;1089;2557
297;4377;197;40;22;58;1186;789;57;662;5391
298;4334;118;314;1028;1599;22816;11894;1598;648;2219
299;4334;54;179;97;320;5581;1209;320;315;5754
300;4331;153;175;68;148;8557;1601;141;793;12584
302;4284;78;70;70;94;5730;601;89;638;8186
303;4271;112;88;97;327;5179;2177;322;909;5339
304;4266;199;143;253;672;2438;7683;643;1065;964
305;4265;230;292;113;320;7438;3110;315;955;6582
306;4251;123;184;2020;5814;143028;43918;5682;725;7081
307;4247;126;172;109;187;7096;1645;184;643;651
308;424;149;85;268;584;20093;6961;412;1119;7497
309;4233;262;174;38;91;3457;1241;91;108;9097
310;4232;235;180;20;64;2628;925;64;1506;1314
311;4231;207;381;127;563;2132;4199;345;748;1679
312;4223;176;258;229;934;9759;9701;916;1042;4262
313;4212;64;88;118;124;7109;736;124;554;6025
314;4195;206;263;1414;3932;98431;52699;3884;1288;6961
316;4179;200;50;138;269;6129;3371;167;1458;4441
317;4171;242;115;236;760;11124;10146;727;1387;4714
318;417;216;147;28;79;0;1481;77;1114;0
319;4152;248;387;579;1624;16739;14530;1153;889;2891
320;4145;277;125;249;774;5276;7086;706;117;2119
321;4143;238;92;134;300;19518;4988;295;1413;14566
322;4121;333;300;432;1008;90981;21176;991;2038;2106
323;4108;151;106;2259;4511;58866;39328;3604;871;2606
324;4098;190;138;187;609;7146;6355;514;958;3821
325;4096;212;126;192;719;9445;8062;702;106;4919
326;4092;174;120;33;100;2564;1398;100;1362;777
327;4086;198;154;1529;2160;112454;35481;2154;1517;7355
328;4073;342;320;524;1654;9921;16312;972;1076;1893
329;4069;195;293;521;1362;45786;16831;1271;1145;8788
330;4057;248;327;440;1464;33341;22059;1457;1401;7578
331;4045;156;44;83;157;5287;2434;156;749;637
332;4044;66;115;74;166;3274;593;166;325;4424
333;4042;208;47;10;53;1093;547;53;838;1093
334;4026;192;838;3799;12159;200323;124481;11000;968;5273
335;4021;77;93;7;52;242;240;48;433;3457
336;4021;287;203;44;155;5861;2324;132;1181;1332
337;4011;310;104;21;75;1819;1266;62;726;8662
338;401;66;73;9;26;500;117;26;318;5556
339;4009;121;104;22;56;2133;634;53;1258;9695
340;4007;108;191;274;600;15043;4521;585;808;549
341;4007;186;129;122;361;4931;4144;295;1273;4042
342;4005;154;293;403;1154;23755;10184;1134;941;5895
343;4002;224;170;1290;2128;28640;28561;2080;1295;222
344;3995;215;372;995;4107;16343;29673;2939;779;1643
345;3991;146;51;73;176;3043;2008;167;1036;4168
347;3977;184;321;238;748;7920;6124;560;782;3328
348;3976;59;140;102;127;3726;700;125;56;3653
349;3939;224;200;75;271;2074;3274;235;119;2765
350;3932;183;130;126;422;7785;4154;356;942;6179
